source,scenario,region,technology,indicator,unit,_2020,_2030,_2050
WEO2021,SDS,United States,Nuclear,Capital costs,$/kW,5000,4800.0,4500.0
WEO2021,SDS,United States,Coal,Capital costs,$/kW,2100,2100.0,2100.0
WEO2021,SDS,United States,Gas CCGT,Capital costs,$/kW,1000,1000.0,1000.0
WEO2021,SDS,United States,Solar PV,Capital costs,$/kW,1100,640.0,440.0
WEO2021,SDS,United States,Wind onshore,Capital costs,$/kW,1390,1280.0,1200.0
WEO2021,SDS,United States,Wind offshore,Capital costs,$/kW,4040,2420.0,1660.0
WEO2021,SDS,European Union,Nuclear,Capital costs,$/kW,6600,5100.0,4500.0
WEO2021,SDS,European Union,Coal,Capital costs,$/kW,2000,2000.0,2000.0
WEO2021,SDS,European Union,Gas CCGT,Capital costs,$/kW,1000,1000.0,1000.0
WEO2021,SDS,European Union,Solar PV,Capital costs,$/kW,840,510.0,370.0
WEO2021,SDS,European Union,Wind onshore,Capital costs,$/kW,1500,1390.0,1310.0
WEO2021,SDS,European Union,Wind offshore,Capital costs,$/kW,3480,2220.0,1520.0
WEO2021,SDS,China,Nuclear,Capital costs,$/kW,2800,2800.0,2500.0
WEO2021,SDS,China,Coal,Capital costs,$/kW,800,800.0,800.0
WEO2021,SDS,China,Gas CCGT,Capital costs,$/kW,560,560.0,560.0
WEO2021,SDS,China,Solar PV,Capital costs,$/kW,650,380.0,260.0
WEO2021,SDS,China,Wind onshore,Capital costs,$/kW,1260,1160.0,1090.0
WEO2021,SDS,China,Wind offshore,Capital costs,$/kW,2960,1760.0,1100.0
WEO2021,SDS,India,Nuclear,Capital costs,$/kW,2800,2800.0,2800.0
WEO2021,SDS,India,Coal,Capital costs,$/kW,1200,1200.0,1200.0
WEO2021,SDS,India,Gas CCGT,Capital costs,$/kW,700,700.0,700.0
WEO2021,SDS,India,Solar PV,Capital costs,$/kW,600,340.0,230.0
WEO2021,SDS,India,Wind onshore,Capital costs,$/kW,1040,990.0,960.0
WEO2021,SDS,India,Wind offshore,Capital costs,$/kW,2980,1800.0,1220.0
WEO2021,SDS,United States,Nuclear,Capacity factor,%,90,85.0,80.0
WEO2021,SDS,United States,Coal,Capacity factor,%,30,10.0,
WEO2021,SDS,United States,Gas CCGT,Capacity factor,%,50,25.0,
WEO2021,SDS,United States,Solar PV,Capacity factor,%,21,22.0,23.0
WEO2021,SDS,United States,Wind onshore,Capacity factor,%,42,43.0,44.0
WEO2021,SDS,United States,Wind offshore,Capacity factor,%,42,46.0,48.0
WEO2021,SDS,European Union,Nuclear,Capacity factor,%,75,75.0,70.0
WEO2021,SDS,European Union,Coal,Capacity factor,%,25,,
WEO2021,SDS,European Union,Gas CCGT,Capacity factor,%,50,40.0,
WEO2021,SDS,European Union,Solar PV,Capacity factor,%,13,14.0,14.0
WEO2021,SDS,European Union,Wind onshore,Capacity factor,%,29,29.0,30.0
WEO2021,SDS,European Union,Wind offshore,Capacity factor,%,51,55.0,58.0
WEO2021,SDS,China,Nuclear,Capacity factor,%,80,80.0,80.0
WEO2021,SDS,China,Coal,Capacity factor,%,55,45.0,5.0
WEO2021,SDS,China,Gas CCGT,Capacity factor,%,30,30.0,30.0
WEO2021,SDS,China,Solar PV,Capacity factor,%,17,18.0,19.0
WEO2021,SDS,China,Wind onshore,Capacity factor,%,26,27.0,27.0
WEO2021,SDS,China,Wind offshore,Capacity factor,%,34,40.0,43.0
WEO2021,SDS,India,Nuclear,Capacity factor,%,75,80.0,80.0
WEO2021,SDS,India,Coal,Capacity factor,%,50,40.0,20.0
WEO2021,SDS,India,Gas CCGT,Capacity factor,%,50,55.0,10.0
WEO2021,SDS,India,Solar PV,Capacity factor,%,20,21.0,21.0
WEO2021,SDS,India,Wind onshore,Capacity factor,%,26,28.0,29.0
WEO2021,SDS,India,Wind offshore,Capacity factor,%,32,36.0,38.0
WEO2021,SDS,United States,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,SDS,United States,Coal,Fuel and O&M,$/MWh,65,125.0,155.0
